Frequency (Hz),Level (dB),Frequency (kHz)
6718.359375,-93.77523,6.718359375
6761.425781,-93.014694,6.761425781
6804.492188,-93.133842,6.804492188
6847.558594,-93.423874,6.847558594
6890.625,-88.65963,6.890625
6933.691406,-72.046616,6.933691406
6976.757812,-68.591545,6.976757812
7019.824219,-78.302048,7.019824219
7062.890625,-93.215195,7.062890625
7105.957031,-94.73381,7.105957031
7149.023438,-93.750587,7.149023438
7192.089844,-94.115601,7.192089844
7235.15625,-94.054253,7.23515625
7278.222656,-93.779694,7.278222656
7321.289062,-94.303703,7.321289062
7364.355469,-94.216034,7.364355469
7407.421875,-94.255707,7.407421875
7450.488281,-93.711372,7.450488281
7493.554688,-93.340736,7.493554688
7536.621094,-94.274918,7.536621094
7579.6875,-94.410301,7.5796875
7622.753906,-93.978302,7.622753906
7665.820312,-94.606087,7.665820312
7708.886719,-94.659393,7.708886719
7751.953125,-93.768929,7.751953125
7795.019531,-93.920418,7.795019531
7838.085938,-94.70784,7.838085938
7881.152344,-95.00135,7.881152344
7924.21875,-93.873817,7.92421875
7967.285156,-94.126602,7.967285156
8010.351562,-94.139503,8.010351562
8053.417969,-94.585793,8.053417969
8096.484375,-94.552933,8.096484375
8139.550781,-94.866135,8.139550781
8182.617188,-94.57634,8.182617188
8225.683594,-93.623489,8.225683594
8268.75,-94.356628,8.26875
8311.816406,-94.345184,8.311816406
8354.882812,-94.36573,8.354882812
8397.949219,-94.451317,8.397949219
8441.015625,-95.217697,8.441015625
8484.082031,-94.491364,8.484082031
8527.148438,-95.15284,8.527148438
8570.214844,-94.50312,8.570214844
8613.28125,-93.134712,8.61328125
8656.347656,-91.692665,8.656347656
8699.414062,-91.270477,8.699414062
8742.480469,-94.440956,8.742480469
8785.546875,-94.802246,8.785546875
8828.613281,-94.655251,8.828613281
8871.679688,-94.736214,8.871679688
8914.746094,-79.625267,8.914746094
8957.8125,-73.281227,8.9578125
9000.878906,-79.811142,9.000878906
9043.945312,-93.182968,9.043945312
9087.011719,-94.088242,9.087011719
9130.078125,-95.025009,9.130078125
9173.144531,-95.519287,9.173144531
9216.210938,-95.226212,9.216210938
9259.277344,-94.89547,9.259277344
9302.34375,-94.140472,9.30234375
9345.410156,-95.016022,9.345410156
9388.476562,-94.966026,9.388476562
9431.542969,-94.984291,9.431542969
9474.609375,-95.372604,9.474609375
9517.675781,-95.57209,9.517675781
9560.742188,-95.023849,9.560742188
9603.808594,-95.442146,9.603808594
9646.875,-95.309753,9.646875
9689.941406,-94.788879,9.689941406
9733.007812,-95.682922,9.733007812
9776.074219,-94.519279,9.776074219
9819.140625,-95.438911,9.819140625
9862.207031,-95.692978,9.862207031
9905.273438,-94.934097,9.905273438
9948.339844,-94.524925,9.948339844
9991.40625,-95.6371,9.99140625
10034.472656,-95.371437,10.034472656
10077.539062,-95.832497,10.077539062
10120.605469,-95.303314,10.120605469
10163.671875,-96.048409,10.163671875
10206.738281,-95.763428,10.206738281
10249.804688,-95.890144,10.249804688
10292.871094,-95.642868,10.292871094
10335.9375,-95.627243,10.3359375
10379.003906,-95.748589,10.379003906
10422.070312,-95.932159,10.422070312
10465.136719,-95.888924,10.465136719
10508.203125,-95.811195,10.508203125
10551.269531,-95.763893,10.551269531
10594.335938,-95.727242,10.594335938
10637.402344,-95.370064,10.637402344
10680.46875,-95.849831,10.68046875
10723.535156,-95.916367,10.723535156
10766.601562,-95.883354,10.766601562
10809.667969,-95.365021,10.809667969
10852.734375,-96.253059,10.852734375
10895.800781,-87.132446,10.895800781
10938.867188,-78.136543,10.938867188
10981.933594,-81.814209,10.981933594
11025,-94.706047,11.025
11068.066406,-95.354858,11.068066406
11111.132812,-95.503212,11.111132812
11154.199219,-95.651451,11.154199219
11197.265625,-95.470154,11.197265625
11240.332031,-95.510086,11.240332031
11283.398438,-95.433937,11.283398438
11326.464844,-96.14904,11.326464844
11369.53125,-95.505089,11.36953125
11412.597656,-96.149246,11.412597656
11455.664062,-95.651497,11.455664062
11498.730469,-96.255951,11.498730469
11541.796875,-95.688721,11.541796875
11584.863281,-96.420898,11.584863281
11627.929688,-96.104301,11.627929688
11670.996094,-95.828224,11.670996094
11714.0625,-95.553482,11.7140625
11757.128906,-96.372696,11.757128906
11800.195312,-95.890205,11.800195312
11843.261719,-95.000092,11.843261719
11886.328125,-95.685104,11.886328125
11929.394531,-95.324432,11.929394531
11972.460938,-95.825981,11.972460938
12015.527344,-95.59066,12.015527344
12058.59375,-95.79155,12.05859375
12101.660156,-95.403404,12.101660156
12144.726562,-95.472542,12.144726562
12187.792969,-96.530769,12.187792969
12230.859375,-95.486771,12.230859375
12273.925781,-95.463081,12.273925781
12316.992188,-96.108086,12.316992188
12360.058594,-96.022652,12.360058594
12403.125,-95.658463,12.403125
12446.191406,-95.96357,12.446191406
12489.257812,-96.396797,12.489257812
12532.324219,-95.924164,12.532324219
12575.390625,-95.773392,12.575390625
12618.457031,-96.041534,12.618457031
12661.523438,-95.811638,12.661523438
12704.589844,-95.320419,12.704589844
12747.65625,-95.586098,12.74765625
12790.722656,-95.990623,12.790722656
12833.789062,-95.599365,12.833789062
12876.855469,-93.069489,12.876855469
12919.921875,-82.9963,12.919921875
12962.988281,-83.829964,12.962988281
13006.054688,-94.307457,13.006054688
13049.121094,-95.650185,13.049121094
13092.1875,-95.653732,13.0921875
13135.253906,-96.120567,13.135253906
13178.320312,-96.13752,13.178320312
13221.386719,-95.807037,13.221386719
13264.453125,-95.701523,13.264453125
13307.519531,-95.733429,13.307519531
13350.585938,-95.454994,13.350585938
13393.652344,-95.424461,13.393652344
13436.71875,-95.529701,13.43671875
13479.785156,-95.168091,13.479785156
13522.851562,-92.363815,13.522851562
13565.917969,-86.295326,13.565917969
13608.984375,-83.407997,13.608984375
13652.050781,-84.388992,13.652050781
13695.117188,-89.718239,13.695117188
13738.183594,-94.83831,13.738183594
13781.25,-95.281677,13.78125
13824.316406,-95.747543,13.824316406
13867.382812,-95.873039,13.867382812
13910.449219,-95.538544,13.910449219
13953.515625,-95.479523,13.953515625
13996.582031,-95.812286,13.996582031
14039.648438,-95.584633,14.039648438
14082.714844,-96.511055,14.082714844
14125.78125,-95.668839,14.12578125
14168.847656,-95.654732,14.168847656
14211.914062,-95.223541,14.211914062
14254.980469,-95.974525,14.254980469
14298.046875,-95.260925,14.298046875
14341.113281,-95.759514,14.341113281
14384.179688,-95.492691,14.384179688
14427.246094,-95.392525,14.427246094
14470.3125,-95.471588,14.4703125
14513.378906,-95.483879,14.513378906
14556.445312,-95.378067,14.556445312
14599.511719,-95.541344,14.599511719
14642.578125,-95.81456,14.642578125
14685.644531,-95.273743,14.685644531
14728.710938,-95.250778,14.728710938
